animal-products
Product discription (HS),Weighted average,,,,Total Average
"Horses, live pure-bred breeding",33609,37111,1,1,37110.91582
,2177,37111,2,2,0
,1325,37111,3,0,0
"Horses, live except pure-bred breeding",33609,37111,4,1,37110.91582
,2177,37111,5,2,0
,1325,37111,6,0,0
"Asses, mules and hinnies, live",33609,37111,7,1,37110.91582
,2177,9859,8,2,0
,1325,7929,9,0,0
"Bovine, live pure-bred breeding",6357,6964,10,1,6963.877859
,246,6964,11,2,0
,360,6964,12,0,0
"Bovine, live except pure-bred breeding",6357,6964,13,1,6963.877859
,246,3069,14,2,0
,360,3192,15,0,0
"Swine, live pure-bred breeding",2462,3288,16,1,3287.921008
,369,3288,17,2,0
,457,3288,18,0,0
"Swine, live except pure-bred breeding weighing less than 50 kg",2462,3288,19,1,3287.921008
,369,3288,20,2,0
,457,3288,21,0,0
"Swine, live except pure-bred breeding weighing 50 kg or more",2462,3288,22,1,3287.921008
,369,5532,23,2,0
,457,5278,24,0,0
"Sheep, live",4706,4841,25,1,4840.58051
,115,134,26,2,0
,19,19,27,0,0
"Goats, live",0,0,28,1,0
,0,135,29,2,0
,0,148,30,0,0
"Fowls, live domestic weighing not more than 185 g",135,172,31,1,171.955797
,14,1385,32,2,0
,24,1507,33,0,0
"Poultry, live except domestic fowls, weighing not more than 185 g",1348,1720,34,1,1719.55797
,136,1720,35,2,0
,236,1720,36,0,0
"Poultry, live except domestic fowls, weighing more than 185 g",1348,1720,37,1,1719.55797
,136,9554,38,2,0
,236,9789,39,0,0
"Bovine carcasses and half carcasses, fresh or chilled",9182,10073,40,1,10073.33506
,371,10073,41,2,0
,520,10073,42,0,0
"Bovine cuts bone in, fresh or chilled",9182,10073,43,1,10073.33506
,371,13824,44,2,0
,520,13978,45,0,0
"Bovine cuts boneless, fresh or chilled",12933,14191,46,1,14190.61276
,525,10440,47,2,0
,733,10286,48,0,0
"Bovine carcasses and half carcasses, frozen",9182,10073,49,1,10073.33506
,371,10073,50,2,0
,520,10073,51,0,0
"Bovine cuts bone in, frozen",9182,10073,52,1,10073.33506
,371,13824,53,2,0
,520,13978,54,0,0
"Bovine cuts boneless, frozen",12933,14191,55,1,14190.61276
,525,4252,56,2,0
,733,4188,57,0,0
"Swine carcasses and half carcasses, fresh or chilled",2994,4010,58,1,4010.474392
