,US,,,,
,US999,,,,
,United States of America,United States of America,,,United States of America
Product description (HS),CNTRY-average,CNTRY-average,,,CNTRY-average
,,,,,
"Wheat (Durum wheat, Wheat nes and meslin)",1869,2191,1,1,2190.548402
,92,,2,2,0
,229,,3,0,0
Wheat or meslin flour,1892,2217,4,1,2216.591128
,93,,5,2,0
,232,,6,0,0
Wheat bread,1645,1927,7,1,1927.470546
,81,,8,2,0
,202,,9,0,0
Dry pasta,1892,2217,10,1,2216.591128
,93,,11,2,0
,232,,12,0,0
Wheat groats and meal,2083,2441,13,1,2441.341176
,102,,14,2,0
,255,,15,0,0
Wheat pellets,2083,2441,16,1,2441.341176
,102,,17,2,0
,255,,18,0,0
"Wheat, starch",1469,1722,19,1,1721.5619
,72,,20,2,0
,180,,21,0,0
"Wheat gluten, whether or not dried",4286,5022,22,1,5021.75675
,211,,23,2,0
,525,,24,0,0
Rice in the husk (paddy or rough),422,1455,25,1,1454.624125
,847,1581,26,2,0
,185,1834,27,0,0
"Rice, husked (brown)",549,1889,28,1,1889.12224
,1100,1950,29,2,0
,241,2072,30,0,0
"Rice, semi-milled or wholly milled, whether or not polished or glazed",610,2099,31,1,2099.024711
,1222,2120,32,2,0
,268,2162,33,0,0
"Rice, broken",631,2171,34,1,2171.080783
,1264,2204,35,2,0
,277,2271,36,0,0
Rice flour,664,2285,37,1,2285.348193
,1330,2185,38,2,0
,291,1984,39,0,0
Rice groats and meal,563,1939,40,1,1939.498833
,1129,2303,41,2,0
,247,1394,42,0,0
Barley,926,1302,43,1,1301.637707
,221,1662,44,2,0
,154,1748,45,0,0
"Barley, rolled or flaked grains",1287,1808,46,1,1807.830149
,307,1808,47,2,0
,214,1808,48,0,0
"Barley,hulled,pearled,sliced or kibbled",1287,1808,49,1,1807.830149
,307,1790,50,2,0
,214,1786,51,0,0
"Malt, not roasted",1269,1783,52,1,1783.065352
,303,2100,53,2,0
,212,2176,54,0,0
"Malt, roasted",1586,2229,55,1,2228.83169
,378,836,56,2,0
,264,504,57,0,0
Beer made from malt,194,272,58,1,272.2237179
,46,601,59,2,0
,32,618,60,0,0
Maize (corn),522,762,61,1,762.2001269
,63,762,62,2,0
,176,762,63,0,0
Maize (corn) nes,522,762,64,1,762.2001269
,63,775,65,2,0
,176,777,66,0,0
Maize (corn) flour,536,782,67,1,781.5557434
,65,708,68,2,0
,181,699,69,0,0
Maize (corn) groats and meal,462,674,70,1,673.7492248
,56,774,71,2,0
,156,786,72,0,0
"Maize (corn), hulled, pearled, sliced or kibbled",562,820,73,1,819.570029
,68,972,74,2,0
,190,991,75,0,0
Maize (corn) starch,714,1042,76,1,1042.074325
,87,1406,77,2,0
,241,1451,78,0,0
Maize (corn) oil crude,1079,1574,79,1,1573.733421
,131,1596,80,2,0
,364,1598,81,0,0
"Maize (corn) oil and its fractions,refined but not chemically modified",1101,1606,82,1,1605.85043
,133,3483,83,2,0
,372,3611,84,0,0
Rye,2978,3524,85,1,3524.32616
,262,4269,86,2,0
,285,4334,87,0,0
Rye flour,3722,4405,88,1,4405.4077
,327,1997,89,2,0
,356,2264,90,0,0
Oats,1313,2123,91,1,2123.216135
,595,2673,92,2,0
,215,2922,93,0,0
Oat groats and meal,1863,3012,94,1,3011.892535
,844,2924,95,2,0
,305,2884,96,0,0
"Oats, rolled or flaked grains",1775,2870,97,1,2869.504958
,804,2894,98,2,0
,291,2905,99,0,0
"Oats, hulled,pearled,sliced or kibbled",1799,2909,100,1,2908.515253
,815,4113,101,2,0
,295,3359,102,0,0
Millet,3003,3374,103,1,3374.409302
,61,1431,104,2,0
,310,1440,105,0,0
Grain sorghum,1060,1247,106,1,1246.86671
,70,2931,107,2,0
,118,3652,108,0,0
Buckwheat,2743,4003,109,1,4003.340831
,791,1260,110,2,0
,469,469,111,0,0
,,0,112,1,0
,,0,113,2,0
,,0,114,0,0
,,0,115,1,0
,,0,116,2,0
,,0,117,0,0
,,0,118,1,0
,,0,119,2,0
,,0,120,0,0
Canary seed,,0,121,1,0
,,0,122,2,0
,,0,123,0,0
,,0,124,1,0
,,0,125,2,0
,,0,126,0,0
Cereals unmilled nes,,0,127,1,0
,,0,128,2,0
,,0,129,0,0
Cereal flour nes,,0,130,1,0
,,0,131,2,0
,,0,132,0,0
Cereal groats and meal nes,,0,133,1,0
,,0,134,2,0
,,0,135,0,0
Cereal pellets nes,,0,136,1,0
,,0,137,2,0
,,0,138,0,0
"Cereals, rolled or flaked grains nes",,0,139,1,0
,,0,140,2,0
,,0,141,0,0
"Cereals, hulled, pearled, sliced or kibbled nes",,0,142,1,0
,,0,143,2,0
,,0,144,0,0
"Germ of cereals, whole, rolled, flaked or ground",,0,145,1,0
,,49,146,2,0
,,138,147,0,0
"Potatoes, fresh or chilled nes",49,398,148,1,398.1200037
,89,596,149,2,0
,260,951,150,0,0
Tapioca of potatoes,247,1991,151,1,1990.600018
,444,1843,152,2,0
,1300,1576,153,0,0
"Potatoes, frozen",99,796,154,1,796.2400073
,178,944,155,2,0
,520,1211,156,0,0
Potato flour and meal,247,1991,157,1,1990.600018
,444,1923,158,2,0
,1300,1802,159,0,0
Potato flakes,179,1448,160,1,1447.709104
,323,1528,161,2,0
,945,1672,162,0,0
Potato starch,260,2095,163,1,2095.36844
,467,2045,164,2,0
,1368,1635,165,0,0
"Sweet potatoes, fresh or dried, whether or not sliced or pelleted",210,890,166,1,889.6234786
,57,680,167,2,0
,623,623,168,0,0
"Manioc (cassava), fresh or dried, whether or not sliced or pelleted",,0,169,1,0
,,0,170,2,0
,,0,171,0,0
Tapioca of cassava,,0,172,1,0
,,0,173,2,0
,,0,174,0,0
Flour of cassava,,0,175,1,0
,,0,176,2,0
,,0,177,0,0
Dried cassava,,0,178,1,0
,,0,179,2,0
,,0,180,0,0
Manioc (cassava) starch,,0,181,1,0
,,0,182,2,0
,,0,183,0,0
,,0,184,1,0
,,251,185,2,0
,,327,186,0,0
Taro (coco yam),251,1032,187,1,1031.690614
,76,781,188,2,0
,705,705,189,0,0
,,0,190,1,0
,,0,191,2,0
,,0,192,0,0
"Salad beetroot,salsif,celeriac,radish&sim edibl roots,fresh/chilld nes",,0,193,1,0
,,0,194,2,0
,,0,195,0,0
"Arrowroot,salep etc fr o drid whether o not slicd o pelletd&sago pith",,0,196,1,0
,,0,197,2,0
,,0,198,0,0
,,0,199,1,0
,,0,200,2,0
,,0,201,0,0
Flour&meal of sago&of roots or tubers with hi starch or inulin content,,0,202,1,0
,,174,203,2,0
,,199,204,0,0
"Sugar cane, fresh or dried, whether or not ground",174,212,205,1,212.0911549
,25,1422,206,2,0
,13,1596,207,0,0
"Raw sugar, cane",1384,1686,208,1,1685.857249
,199,1782,209,2,0
,103,1796,210,0,0
"Refined sugar,in solid form,containg added flavourg or colourg matter",1481,1803,211,1,1803.055881
,213,1803,212,2,0
,110,1803,213,0,0
"Refined sugar, in solid form, nes",1481,1803,214,1,1803.055881
,213,1803,215,2,0
,110,1803,216,0,0
Maple sugar and maple syrup,1481,1803,217,1,1803.055881
,213,1803,218,2,0
,110,1803,219,0,0
Glucose&glucose syrup nt cntg fruct/cntg in dry state <20% by wt fruct,1481,1803,220,1,1803.055881
,213,1803,221,2,0
,110,1803,222,0,0
Glucose inc syrup cntg in dry state min 20% but <50% by wt of fructose,1481,1803,223,1,1803.055881
,213,1803,224,2,0
,110,1803,225,0,0
"Fructose, chemically pure",1481,1803,226,1,1803.055881
,213,1803,227,2,0
,110,1803,228,0,0
"Fructose&fructose syrup nes,cntg in dry state >50% by wght of fructose",1481,1803,229,1,1803.055881
,213,760,230,2,0
,110,610,231,0,0
Cane molasses,438,533,232,1,532.9371491
,63,164,233,2,0
,32,139,234,0,0
"Sugar beet, fresh or dried, whether or not ground",69,127,235,1,127.1546299
,38,508,236,2,0
,20,718,237,0,0
"Raw sugar, beet",450,831,238,1,831.4002718
,248,498,239,2,0
,134,314,240,0,0
Molasses nes,116,215,241,1,215.1718361
,64,99,242,2,0
,35,35,243,0,0
,,0,244,1,0
,,0,245,2,0
,,0,246,0,0
"Sugar nes, including invert sugar",,0,247,1,0
,,1216,248,2,0
,,1644,249,0,0
"Beans,small red (Adzuki) dried,shelled,whether or not skinned or split",1216,7785,250,1,7784.712634
,428,7785,251,2,0
,6141,7785,252,0,0
"Kidney beans&white pea beans drid shelld,whether o not skinnd o split",1216,7785,253,1,7784.712634
,428,7785,254,2,0
,6141,7785,255,0,0
"Beans dried, shelled, whether or not skinned or split, nes",1216,7785,256,1,7784.712634
,428,8258,257,2,0
,6141,8424,258,0,0
Flour and meal of the dried leguminous vegetables of heading No 07.13,1689,10812,259,1,10812.10088
,594,9123,260,2,0
,8529,8529,261,0,0
"Broad beans&horse beans dried,shelled,whether or not skinned or split",,0,262,1,0
,,1057,263,2,0
,,1105,264,0,0
"Peas dried, shelled, whether or not skinned or split",1057,5946,265,1,5945.823904
,48,6706,266,2,0
,4841,6659,267,0,0
"Chickpeas, dried, shelled, whether or not skinned or split",1818,10157,268,1,10157.13283
,,10655,269,2,0
,8339,10655,270,0,0
"Cow peas, dry",2315,10752,271,1,10752.43348
,,8437,272,2,0
,8437,8437,273,0,0
,,0,274,1,0
,,1782,275,2,0
,,1782,276,0,0
"Lentils dried, shelled, whether or not skinned or split",1782,9517,277,1,9517.386496
,,7736,278,2,0
,7736,7736,279,0,0
,,0,280,1,0
,,0,281,2,0
,,0,282,0,0
,,0,283,1,0
,,0,284,2,0
,,0,285,0,0
,,0,286,1,0
,,0,287,2,0
,,0,288,0,0
"Urd,mung,black/green gram beans drid shelld,whether/not skinnd/split",,0,289,1,0
,,0,290,2,0
,,0,291,0,0
,,0,292,1,0
,,0,293,2,0
,,0,294,0,0
,,0,295,1,0
,,0,296,2,0
,,0,297,0,0
,,0,298,1,0
,,0,299,2,0
,,0,300,0,0
"Chestnuts, fresh or dried, whether or not shelled or peeled",,0,301,1,0
,,1171,302,2,0
,,3209,303,0,0
Almonds in shell fresh or dried,1171,6528,304,1,6527.623105
,2038,7699,305,2,0
,3319,9736,306,0,0
"Almonds,fresh or dried,shelled or peeled",2342,13055,307,1,13055.24621
,4075,12087,308,2,0
,6638,9990,309,0,0
"Walnuts in shell, fresh or dried",1374,6570,310,1,6570.46913
,1979,7789,311,2,0
,3218,9543,312,0,0
"Walnuts, fresh or dried, shelled or peeled",2592,12397,313,1,12397.11157
,3733,10756,314,2,0
,6072,9181,315,0,0
"Pistachios, fresh or dried, whether or not shelled or peeled",951,3454,316,1,3453.512941
,2158,2503,317,2,0
,344,344,318,0,0
,,0,319,1,0
,,1787,320,2,0
,,4329,321,0,0
Hazelnuts or filberts in shell fresh or dried,1787,8372,322,1,8372.064814
,2542,10159,323,2,0
,4043,12701,324,0,0
"Hazelnuts or filberts, fresh or dried, shelled or peeled",3574,16744,325,1,16744.12963
,5084,13170,326,2,0
,8086,8086,327,0,0
,,0,328,1,0
,,2066,329,2,0
,,4449,330,0,0
"Nuts edible, fresh or dried, whether or not shelled or peeled, nes",2066,8470,331,1,8469.550648
